ID	NAME	LATITUDE	LONGITUDE	DISPLACED	REFUGEES	IDPS	TOTAL_IMPACT	POPULATION
13442	MARÍA LA BAJA	9.98513343921	-75.3032014542	19800	4323	17873	42332	45321
5051	ARBOLETES	8.85060188204	-76.426683425	25262	10716	5610	41614	26279
86320	ORITO	0.676020477276	-76.880209856	25484	6774	6882	41289	32644
5313	GRANADA	6.1413743323	-75.1879726737	30462	1208	9344	41118	9203
44090	DIBULLA	11.2712541239	-73.3072366876	23018	8217	8564	41086	35599
86571	PUERTO GUZMÁN	0.963535947743	-76.408021749	33922	1830	2823	40730	16820
52079	BARBACOAS	1.67357164647	-78.1382611995	24413	3917	10595	40364	33804
70215	COROZAL	9.32068414476	-75.2920234071	2527	34697	1256	40351	65848
5197	COCORNÁ	6.0578887963	-75.1856126096	24366	3574	12157	40171	14703
47555	PLATO	9.79340260606	-74.7836448308	17948	12210	8239	39742	56153
5660	SAN LUIS	6.04286525408	-74.9943922309	19454	4024	15228	38894	11099
81736	SARAVENA	6.95387794055	-71.8739494779	18672	15070	2221	38066	52278
20228	CURUMANÍ	9.20104392798	-73.5417746536	21198	6603	9137	37758	34833
5120	CÁCERES	7.57632158107	-75.3501083098	26171	4140	7016	37375	26120
18592	PUERTO RICO	1.91018145606	-75.1578569902	26712	6476	3382	37278	23616
13458	MONTECRISTO	8.29331961005	-74.4758024507	27032	945	8212	36527	13470
85001	YOPAL	5.33222810526	-72.3939942486	6306	24356	3527	36296	154478
13006	ACHÍ	8.56785243037	-74.5554917681	27593	2096	5951	35940	18864
54206	CONVENCIÓN	8.4699950181	-73.3371949281	16857	4998	12399	35829	17879
54800	TEORAMA	8.43723373422	-73.2869854333	22882	2833	8480	35822	12710
13810	PUERTO RICO	8.55646720521	-74.2647877151	24959	1330	8654	35323	17918
73616	RIOBLANCO	3.53021377745	-75.6446841365	28121	661	4382	35149	19065
73168	CHAPARRAL	3.72576111018	-75.4835822095	23217	6530	3389	35071	43221
13657	SAN JUAN NEPOMUCENO	9.95138127678	-75.0836663042	12203	2981	19279	34825	35412
13212	CÓRDOBA	9.58662299509	-74.8275074561	27580	1655	4570	34123	14992
19050	ARGELIA	2.25554956673	-77.2490752264	28853	539	3863	33979	19925
52678	SAMANIEGO	1.33454629135	-77.5947573067	11150	14294	6582	33555	23697
63001	ARMENIA	4.53810471888	-75.6800036165	2521	28900	393	33451	273769
47053	ARACATACA	10.5908482677	-74.1862929437	19213	6105	6469	33102	37440
54250	EL TARRA	8.57723102745	-73.0946708066	21213	3431	6870	33097	18986
81065	ARAUQUITA	7.02931365342	-71.4276395908	20356	5447	5068	32966	44793
5667	SAN RAFAEL	6.29394973639	-75.0282495204	18265	2271	11443	32173	12557
86757	PUERTO COLÓN	0.276507848745	-76.9302187801	22950	2262	4540	31915	13903
19698	SANTANDER DE QUILICHAO	3.01128796778	-76.4853458904	8108	21062	1852	31804	95348
20238	EL COPEY	10.1491321093	-73.9613702507	20897	2845	7203	31767	28550
18410	LA MONTAÑITA	1.48833022085	-75.4361470337	21581	2030	7227	31540	11524
52540	POLICARPA	1.62789177867	-77.4604333055	20207	2080	7590	31392	8149
27361	ISTMINA	5.15335100307	-76.6860015418	14457	9068	6475	31175	27349
44430	MAICAO	11.3783618743	-72.2415513963	12174	14193	3243	30909	159081
5756	SONSÓN	5.71278805385	-75.3103024361	14624	4140	11462	30436	31598
70204	RICAURTE (COLOSO)	9.49099729993	-75.3560877468	22796	867	4786	30318	7803
73555	PLANADAS	3.19702137708	-75.6437838795	23738	2037	2387	30141	21503
50325	MAPIRIPÁN	2.89200026022	-72.1332494943	21691	2013	4792	29893	5766
50313	GRANADA	3.5448713658	-73.7062713008	7248	20834	372	29847	63959
54344	HACARÍ	8.32162940597	-73.1459084076	14551	2355	11147	29642	9622
73411	LÍBANO	4.92332026847	-75.062990051	10848	8115	8176	29102	32886
47745	SITIONUEVO	10.7807379069	-74.7231050771	20797	1988	4151	28299	25804
17001	MANIZALES	5.05644709052	-75.4900373312	3121	23191	916	27862	395818
19418	LÓPEZ	2.84591662514	-77.2482770971	14685	1346	10974	27761	15117
70823	TOLÚ VIEJO	9.45370314301	-75.4395158704	16743	4574	4338	27568	20033
19110	BUENOS AIRES	3.01602440522	-76.6425464035	16808	1747	8279	27564	25236
68276	FLORIDABLANCA	7.07418748191	-73.0976614006	1018	24620	152	27543	274607
5360	ITAGÜÍ	6.16970164493	-75.6134013955	4491	21404	1341	27352	261576
19809	TIMBIQUÍ	2.7772733954	-77.6682725448	11018	2019	13357	27190	21614
76364	JAMUNDÍ	3.26299651392	-76.5402305374	7952	11783	5396	27182	127125
50590	PUERTO RICO	2.94164927569	-73.2074860066	20317	807	4627	27166	11033
44650	SAN JUAN DEL CESAR	10.7707349803	-73.0017013871	6899	3573	15267	27042	45755
5055	ARGELIA	5.7315608939	-75.1427155905	13366	1290	12305	26989	6733
52490	BOCAS DE SATINGA	2.34754710673	-78.32877504	15747	4155	5568	26979	21356
18205	CURILLO	1.03365529497	-75.9203547687	21911	3051	1185	26843	7379
5659	SAN JUAN DE URABÁ	8.75949060552	-76.528889794	11960	11365	3191	26702	19992
17541	PENSILVANIA	5.38460814527	-75.15923798	15587	1754	8652	26661	17107
70771	SUCRE	8.81357257884	-74.7220666385	17385	3062	4223	26579	23971
27800	UNGUÍA	8.04363271513	-77.0932294835	13132	2987	9105	26427	12192
68307	GIRÓN	7.07176114996	-73.1682549002	2311	21534	821	26425	148741
86573	PUERTO LEGUÍZAMO	-0.184973168284	-74.7836699475	15312	4781	3738	25988	18497
13688	SANTA ROSA DEL SUR	7.96347880175	-74.0505988632	8754	5788	10872	25786	27284
73067	ATACO	3.59116486731	-75.3824540225	18765	1007	4061	25760	18218
20517	PAILITAS	8.95604299466	-73.6253987915	11996	5291	7301	25424	16800
23555	PLANETA RICA	8.40912149513	-75.5840965622	9902	12912	1615	25313	60245
5093	BETULIA	6.10909980729	-75.9841907479	12063	2825	10247	25175	15069
20060	BOSCONIA	9.97437199426	-73.888041926	8360	13029	2937	25140	37499
19318	GUAPÍ	2.57069210962	-77.8856832383	12254	6314	5808	25122	23775
20621	ROBLES	10.3864677933	-73.1726913052	11570	7029	5532	24975	26105
20750	SAN DIEGO	10.3336927783	-73.1807287956	10060	5987	7890	24785	18530
86885	VILLAGARZÓN	1.03086306414	-76.6146582665	12690	6767	3098	24724	21977
5495	NECHÍ	8.08807817613	-74.7767992673	12328	5657	5741	23874	24030
13894	ZAMBRANO	9.74856772596	-74.8149599707	12977	1164	9235	23764	11367
5895	ZARAGOZA	7.48814967207	-74.8679617402	16088	3432	3930	23698	24052
20400	LA JAGUA DE IBIRICO	9.5628670562	-73.3355518107	14020	3420	5395	23667	37106
5483	NARIÑO	5.61099552188	-75.1749212943	15285	1487	6623	23539	8599
76520	PALMIRA	3.53293709282	-76.2982156806	4989	14249	2142	23441	299173
54670	SAN CALIXTO	8.39831528626	-73.2066910223	10615	1732	9365	23329	9915
18610	SAN JOSÉ DEL FRAGUA	1.33172583838	-75.9736618541	16595	2560	3435	23300	10965
70678	SAN BENITO ABAD	8.92992440779	-75.0313690338	11732	3770	5685	23084	25511
13744	SIMITÍ	7.95522013541	-73.9463661065	16028	1909	4720	23031	15264
20045	BECERRIL	9.70516249492	-73.2791587811	10269	3749	8092	22922	20474
41298	GARZÓN	2.19565280168	-75.62673823	7203	13443	947	22820	65319
5736	SEGOVIA	7.07992032695	-74.6993000375	17186	4016	1389	22799	33310
47245	EL BANCO	8.99831827329	-73.979391715	8837	12118	445	22727	59360
54720	SARDINATA	8.08423365811	-72.8000611215	13169	2538	5268	22598	21159
27006	ACANDÍ	8.51094989588	-77.2786180632	7846	2858	10745	22596	12095
5652	SAN FRANCISCO	5.96417239349	-75.101852968	14315	1742	6352	22589	5223
5284	FRONTINO	6.77558501444	-76.1312233968	10257	3748	8343	22444	20111
99773	CUMARIBO	4.44448762205	-69.7985426683	17647	467	1711	22069	39954
86569	PUERTO CAICEDO	0.685064178705	-76.6045178172	14905	2157	2742	21957	11082
76233	DAGUA	3.65739350091	-76.6891747624	7125	6524	6239	21923	39550
27025	PIE DE PATO	5.51613684806	-76.9746369543	16154	126	4427	21856	23954
47605	REMOLINO	10.7018473845	-74.7165449361	14230	1055	4991	21625	9555
47660	SAN ÁNGEL	10.032519022	-74.2139612232	17240	792	2072	21455	14047
70418	LOS PALMITOS	9.38017706005	-75.26813259	9570	6101	3872	21428	21831
52786	TAMINANGO	1.57012763757	-77.2807279183	2216	17233	325	21321	15412
19100	BOLÍVAR	1.83756270298	-76.9667571993	19048	1043	402	21221	35625
18860	VALPARAÍSO	1.19761525181	-75.705366285	15448	1300	3587	21053	5678
41020	ALGECIRAS	2.52255590505	-75.3156946518	18133	1271	415	21034	20015
50006	ACACÍAS	3.99101402798	-73.7656023438	4455	14369	699	20896	73925
19532	EL BORDO	2.11308139072	-76.985681817	15138	3715	1268	20889	28361
13473	MORALES	8.27581253545	-73.8678818761	12518	2597	4905	20362	18678
18247	EL DONCELLO	1.67906350696	-75.2828373662	12964	5145	1531	20338	17572
5893	CASABE	7.00280678303	-73.9103536152	14019	2061	3993	20319	17493
27077	PIZARRO	4.95351524875	-77.3659915836	8161	2370	8515	20203	18451
5854	VALDIVIA	7.1631376806	-75.4397119153	10970	6496	2415	20111	11511
20550	PELAYA	8.6878909654	-73.6659129701	10290	4420	4355	19903	18487
66572	PUEBLO RICO	5.22209118924	-76.0307989103	13498	2310	2391	19880	14429
27150	CURBARADÓ	7.15741302428	-76.971876826	12807	418	5447	19837	13111
18256	EL PAUJÍL	1.57049113691	-75.3267456515	9164	6707	3231	19802	12822
5615	RIONEGRO	6.14622006057	-75.3762557551	1950	17184	368	19670	114851
18460	MILÁN	1.29064424043	-75.5075303109	16589	787	1585	19665	6980
13074	BARRANCO DE LOBA	8.94601851328	-74.1062146385	12326	903	6007	19546	14435
5887	YARUMAL	6.96557969998	-75.4195984062	8105	9021	2146	19514	35842
70265	GUARANDA	8.46904787508	-74.5364152942	6478	10457	697	19513	15618
25394	LA PALMA	5.35896522527	-74.3909112773	14330	680	3261	19283	7708
27787	TADÓ	5.2654259932	-76.5547763052	8926	1189	7904	19220	16945
18785	SOLITA	0.872398243529	-75.6201310918	14277	2563	1420	18976	5242
27073	BAGADÓ	5.41171542089	-76.415960274	13431	608	3611	18803	10553
73624	ROVIRA	4.23948330635	-75.2406831253	13281	1945	1472	18687	20220
