FID,DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
43,05,308,GIRARDOTA,2011,5,6.379349929010000,-75.443698985300003,05308,5308.000000000000000,624.000000000000000,1903.000000000000000,406.000000000000000,2933.000000000000000
44,05,313,GRANADA,2011,5,6.141374332300000,-75.187972673700003,05313,5313.000000000000000,27257.000000000000000,980.000000000000000,8725.000000000000000,36962.000000000000000
45,05,134,CAMPAMENTO,2011,5,6.979902900240000,-75.298660497499995,05134,5134.000000000000000,3101.000000000000000,345.000000000000000,585.000000000000000,4031.000000000000000
46,05,138,CAÑASGORDAS,2011,5,6.749875686130000,-76.024565573100006,05138,5138.000000000000000,7168.000000000000000,1451.000000000000000,1032.000000000000000,9651.000000000000000
47,05,150,CAROLINA,2011,5,6.725994352470000,-75.283599938199998,05150,5150.000000000000000,266.000000000000000,318.000000000000000,116.000000000000000,700.000000000000000
48,05,148,EL CARMEN DE VIBORAL,2011,5,6.084971573630000,-75.335269011999998,05148,5148.000000000000000,4902.000000000000000,2707.000000000000000,4060.000000000000000,11669.000000000000000
49,05,190,CISNEROS,2011,5,6.538875198890000,-75.086239060200000,05190,5190.000000000000000,993.000000000000000,1119.000000000000000,13.000000000000000,2125.000000000000000
50,05,306,GIRALDO,2011,5,6.678034032380000,-75.951179404499996,05306,5306.000000000000000,610.000000000000000,288.000000000000000,117.000000000000000,1015.000000000000000
51,05,310,GÓMEZ PLATA,2011,5,6.684119447710000,-75.221755554400005,05310,5310.000000000000000,637.000000000000000,395.000000000000000,79.000000000000000,1111.000000000000000
52,05,321,GUATAPÉ,2011,5,6.232337371510000,-75.155626971700002,05321,5321.000000000000000,1081.000000000000000,835.000000000000000,552.000000000000000,2468.000000000000000
53,05,360,ITAGÜÍ,2011,5,6.169701644930000,-75.613401395500006,05360,5360.000000000000000,3594.000000000000000,16505.000000000000000,973.000000000000000,21072.000000000000000
54,05,376,LA CEJA,2011,5,6.029799486090000,-75.427977384200005,05376,5376.000000000000000,1234.000000000000000,5589.000000000000000,851.000000000000000,7674.000000000000000
55,05,380,LA ESTRELLA,2011,5,6.156625357340000,-75.637943032899997,05380,5380.000000000000000,540.000000000000000,3038.000000000000000,101.000000000000000,3679.000000000000000
56,05,197,COCORNÁ,2011,5,6.057888796300000,-75.185612609600000,05197,5197.000000000000000,22037.000000000000000,2880.000000000000000,11310.000000000000000,36227.000000000000000
57,05,206,CONCEPCIÓN,2011,5,6.394225425560000,-75.257556919799995,05206,5206.000000000000000,1985.000000000000000,275.000000000000000,1161.000000000000000,3421.000000000000000
58,05,209,CONCORDIA,2011,5,6.046032234370000,-75.908353510799998,05209,5209.000000000000000,3611.000000000000000,1251.000000000000000,358.000000000000000,5220.000000000000000
59,05,237,DONMATÍAS,2011,5,6.485885346190000,-75.394095164500001,05237,5237.000000000000000,416.000000000000000,2203.000000000000000,87.000000000000000,2706.000000000000000
60,05,240,EBÉJICO,2011,5,6.327259704990000,-75.766877726299995,05240,5240.000000000000000,909.000000000000000,269.000000000000000,12.000000000000000,1190.000000000000000
61,05,390,LA PINTADA,2011,5,5.739135854200000,-75.606218059300005,05390,5390.000000000000000,804.000000000000000,440.000000000000000,148.000000000000000,1392.000000000000000
62,05,467,MONTEBELLO,2011,5,5.946563658970000,-75.523753933799995,05467,5467.000000000000000,3286.000000000000000,379.000000000000000,1094.000000000000000,4759.000000000000000
63,05,490,NECOCLÍ,2011,5,8.426025280839999,-76.787621253500006,05490,5490.000000000000000,35693.000000000000000,13008.000000000000000,7778.000000000000000,56479.000000000000000
64,05,315,GUADALUPE,2011,5,6.814107781270000,-75.239600292500000,05315,5315.000000000000000,1147.000000000000000,166.000000000000000,155.000000000000000,1468.000000000000000
