ID	NAME	LATITUDE	LONGITUDE	DISPLACED	REFUGEES	IDPS	TOTAL_IMPACT	POPULATION
5790	TARAZÁ	7.581611353	-75.399711	18810	7032	9051	34893	32943
19256	EL TAMBO	2.452235812	-76.81081231	28164	2116	4329	34609	45804
20011	AGUACHICA	8.310120968	-73.60130045	12964	16171	4965	34100	82335
86571	PUERTO GUZMÁN	0.9635359477	-76.40802175	29482	1297	2379	33158	22679
47555	PLATO	9.793402606	-74.78364483	15644	10394	7113	33151	49195
70215	COROZAL	9.320684145	-75.29202341	2215	29237	1116	32568	57756
86320	ORITO	0.6760204773	-76.88020986	21729	4900	5368	31997	43654
18592	PUERTO RICO	1.910181456	-75.15785699	23396	5453	2780	31629	32408
20228	CURUMANÍ	9.201043928	-73.54177465	18067	5168	8036	31271	27560
13657	SAN JUAN NEPOMUCENO	9.951381277	-75.0836663	10225	2485	18006	30716	32514
52079	BARBACOAS	1.673571646	-78.1382612	18376	3148	8826	30350	30270
5667	SAN RAFAEL	6.293949736	-75.02824952	16871	1845	10898	29614	13530
47053	ARACATACA	10.59084827	-74.18629294	17971	5519	5658	29148	35520
13212	CÓRDOBA	9.586622995	-74.82750746	23189	1100	4179	28468	13113
73616	RIOBLANCO	3.530213777	-75.64468414	24074	494	3726	28294	25636
81736	SARAVENA	6.953877941	-71.87394948	13963	12151	1663	27777	42766
73168	CHAPARRAL	3.72576111	-75.48358221	19904	5175	2609	27688	46712
13810	PUERTO RICO	8.556467205	-74.26478772	19216	831	7626	27673	18786
85001	YOPAL	5.332228105	-72.39399425	4917	19675	2748	27340	106822
13458	MONTECRISTO	8.29331961	-74.47580245	19797	701	6470	26968	16973
20238	EL COPEY	10.14913211	-73.96137025	18111	2306	6484	26901	24971
5756	SONSÓN	5.712788054	-75.31030244	13052	3543	10231	26826	38779
63001	ARMENIA	4.538104719	-75.68000362	1973	24515	303	26791	280930
18410	LA MONTAÑITA	1.488330221	-75.43614703	19482	1664	5285	26431	22181
5055	ARGELIA	5.731560894	-75.14271559	12169	1194	11827	25190	10091
27361	ISTMINA	5.153351003	-76.68600154	10924	8818	5390	25132	23639
70204	RICAURTE (COLOSO)	9.4909973	-75.35608775	20188	706	4215	25109	6214
52678	SAMANIEGO	1.334546291	-77.59475731	8636	11810	4563	25009	50437
50325	MAPIRIPÁN	2.89200026	-72.13324949	18684	1773	4290	24747	13230
86757	SAN MIGUEL	0.2730170043	-76.84534328	19479	1551	3675	24705	21838
19050	ARGELIA	2.255549567	-77.24907523	20828	366	3209	24403	24538
81065	ARAUQUITA	7.029313653	-71.42763959	15663	4370	4213	24246	36745
19698	SANTANDER DE QUILICHAO	3.011287968	-76.48534589	5681	17132	1333	24146	80282
52540	POLICARPA	1.627891779	-77.46043331	15417	1574	6959	23950	13785
73555	PLANADAS	3.197021377	-75.64378388	19934	1721	2099	23754	29417
27025	PIE DE PATO	5.516136848	-76.97463695	12542	82	11046	23670	28961
50313	GRANADA	3.544871366	-73.7062713	5755	17595	320	23670	50172
54250	EL TARRA	8.577231027	-73.09467081	13488	2766	7187	23441	10772
47745	SITIONUEVO	10.78073791	-74.72310508	17668	1749	3771	23188	26867
18205	CURILLO	1.033655295	-75.92035477	19480	2602	983	23065	11121
5659	SAN JUAN DE URABÁ	8.759490606	-76.52888979	10301	9844	2865	23010	20899
17001	MANIZALES	5.056447091	-75.49003733	2766	19398	786	22950	379972
44430	MAICAO	11.37836187	-72.2415514	9495	11363	1988	22846	123757
73411	LÍBANO	4.923320268	-75.06299005	9439	6149	7201	22789	42269
44650	SAN JUAN DEL CESAR	10.77073498	-73.00170139	5909	3029	13657	22595	33654
5093	BETULIA	6.109099807	-75.98419075	10703	2393	9314	22410	16725
50590	PUERTO RICO	2.941649276	-73.20748601	17600	624	4105	22329	17368
68276	FLORIDABLANCA	7.074187482	-73.0976614	871	21226	117	22214	254683
19318	GUAPÍ	2.57069211	-77.88568324	7636	4674	9832	22142	28663
68307	GIRÓN	7.07176115	-73.1682549	2012	19227	754	21993	135791
17541	PENSILVANIA	5.384608145	-75.15923798	13118	1439	7155	21712	26426
19780	SUÁREZ	2.954521811	-76.69508051	5908	1035	14585	21528	19244
19418	LÓPEZ	2.845916625	-77.2482771	12377	631	8459	21467	19326
27800	UNGUÍA	8.043632715	-77.09322948	10828	2610	8003	21441	14544
5120	CÁCERES	7.576321581	-75.35010831	12748	3488	5000	21236	28945
70823	TOLÚ VIEJO	9.453703143	-75.43951587	13687	3919	3596	21202	18955
5483	NARIÑO	5.610995522	-75.17492129	13782	1286	6129	21197	15579
20060	BOSCONIA	9.974371994	-73.88804193	7381	11271	2526	21178	30885
13894	ZAMBRANO	9.748567726	-74.81495997	11551	1018	8554	21123	11110
5360	ITAGÜÍ	6.169701645	-75.6134014	3594	16505	973	21072	235016
5652	SAN FRANCISCO	5.964172393	-75.10185297	13150	1588	6043	20781	6395
19809	TIMBIQUÍ	2.777273395	-77.66827254	7025	1598	12004	20627	20885
20517	PAILITAS	8.956042995	-73.62539879	10071	3876	6577	20524	15902
54206	CONVENCIÓN	8.469995018	-73.33719493	9369	2674	8427	20470	16605
19110	BUENOS AIRES	3.016024405	-76.6425464	12813	2172	5079	20064	26961
20400	LA JAGUA DE IBIRICO	9.562867056	-73.33555181	12302	2809	4915	20026	22082
20750	SAN DIEGO	10.33369278	-73.1807288	8597	4475	6875	19947	13772
86885	VILLAGARZÓN	1.030863064	-76.61465827	11093	5761	2772	19626	20785
73067	ATACO	3.591164867	-75.38245402	15694	716	3106	19516	21942
54800	TEORAMA	8.437233734	-73.28698543	12431	2367	4541	19339	17523
76364	JAMUNDÍ	3.262996514	-76.54023054	5848	9002	4418	19268	96993
86573	PUERTO LEGUÍZAMO	-0.1849731683	-74.78366995	12076	4056	2991	19123	16044
